Name                                                                                                                               Stmts   Miss  Cover
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/auth/views                                   112     10    91%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/__init__                             42      9    79%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/admin                                40      9    78%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/forms                                88      2    98%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/managers                             12      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/models                               99     12    88%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/moderation                           87      3    97%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/signals                               4      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/templatetags/__init__                 0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/templatetags/comments               142     18    87%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/views/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/views/comments                       60      1    98%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/views/moderation                     49      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/comments/views/utils                          27      2    93%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/contenttypes/__init__                          0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/contenttypes/generic                         229     19    92%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/contenttypes/management                       30      8    73%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/contenttypes/models                           57      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/contenttypes/tests                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/contenttypes/views                            44     17    61%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/csrf/__init__                                  0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/databrowse/__init__                            1      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/databrowse/datastructures                    145    100    31%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/databrowse/plugins/__init__                    0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/databrowse/plugins/calendars                  54     35    35%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/databrowse/plugins/fieldchoices               49     31    37%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/databrowse/plugins/objects                    12      5    58%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/databrowse/sites                              82     49    40%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/flatpages/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/flatpages/admin                               15      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/flatpages/models                              20      2    90%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/formtools/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/formtools/models                               0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/formtools/preview                             55      5    91%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/formtools/tests                               91      1    99%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/formtools/utils                               20      2    90%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/formtools/wizard                              90     10    89%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/gis/__init__                                   0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/gis/management/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/gis/models                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/gis/tests/__init__                            54     50     7%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/humanize/__init__                              0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/humanize/templatetags/__init__                 0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/humanize/templatetags/humanize                68      5    93%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/__init__                           0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ar/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ar/ar_provinces                    2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ar/forms                          62      3    95%
