Name                                                                                        Stmts   Miss  Cover
---------------------------------------------------------------------------------------------------------------
/home/gdub/tmp/metrics/2009-07-13/django/__init__                                              15      3    80%
/home/gdub/tmp/metrics/2009-07-13/django/bin/__init__                                           0      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/conf/__init__                                         70     17    76%
/home/gdub/tmp/metrics/2009-07-13/django/conf/global_settings                                  97      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/__init__                                       0      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/__init__                                23      3    87%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/actions                                 40     26    35%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/filterspecs                            105     62    41%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/helpers                                172    109    37%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/models                                  40      6    85%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/options                                602    372    38%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/sites                                  231    116    50%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/templatetags/__init__                    0      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/templatetags/adminmedia                  9      2    78%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/util                                   121     92    24%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/validation                             192     18    91%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/views/__init__                           0      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/views/decorators                        46     20    57%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/views/main                             178     82    54%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admin/widgets                                194     32    84%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admindocs/__init__                             0      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admindocs/utils                               62     39    37%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/admindocs/views                              220    173    21%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/__init__                                 64      9    86%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/admin                                    69     38    45%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/backends                                 59      4    93%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/decorators                               40      2    95%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/forms                                   127     18    86%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/management/__init__                      36     10    72%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/management/commands/__init__              0      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/management/commands/createsuperuser      89     52    42%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/middleware                               37     10    73%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/models                                  227     45    80%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/tests/__init__                            6      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/tests/basic                               1      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/tests/forms                               1      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/tests/remote_user                        88      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/tests/tokens                              1      0   100%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/tests/views                             153      8    95%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/tokens                                   30      4    87%
/home/gdub/tmp/metrics/2009-07-13/django/contrib/auth/views                                   108     21    81%
