Name                                                                                                                                    Stmts   Miss  Cover
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/admin                                         84     22    74%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/backends                                      64      3    95%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/context_processors                            10      2    80%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/decorators                                    29      2    93%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/forms                                        133     17    87%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/management/__init__                           40     10    75%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/management/commands/__init__                   0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/management/commands/createsuperuser           89     52    42%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/middleware                                    37      3    92%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/models                                       278     22    92%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/signals                                        3      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/__init__                                10      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/auth_backends                          239      4    98%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/basic                                   57      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/decorators                              23      2    91%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/forms                                  127      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/models                                  21      2    90%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/permissions                             20      2    90%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/remote_user                             88      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/signals                                 32      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/tokens                                  48      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/urls                                    11      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tests/views                                  212      1    99%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/tokens                                        38      2    95%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/urls                                           2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/auth/views                                        131     10    92%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/__init__                                  42      9    79%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/admin                                     42      9    79%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/forms                                     96      2    98%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/managers                                  12      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/models                                    99     12    88%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/moderation                                89      3    97%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/signals                                    4      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/templatetags/__init__                      0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/templatetags/comments                    142     18    87%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/urls                                       3      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/views/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/views/comments                            62      1    98%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/views/moderation                          49      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/comments/views/utils                               27      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/contenttypes/__init__                               0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/contenttypes/generic                              233     17    93%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/contenttypes/management                            37     15    59%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/contenttypes/models                                57      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/contenttypes/tests                                 41      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/contenttypes/views                                 47     17    64%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/csrf/__init__                                       0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/databrowse/__init__                                 1      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/databrowse/datastructures                         145    100    31%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/databrowse/plugins/__init__                         0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/databrowse/plugins/calendars                       54     35    35%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/databrowse/plugins/fieldchoices                    49     31    37%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/databrowse/plugins/objects                         12      5    58%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/databrowse/sites                                   82     49    40%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/__init__                                  0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/admin                                    15      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/middleware                               15      4    73%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/models                                   20      1    95%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/templatetags/__init__                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/templatetags/flatpages                   42      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/tests/__init__                            5      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/tests/csrf                               55      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/tests/forms                              14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/tests/middleware                         50      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/tests/templatetags                       49      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/tests/urls                                2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/tests/views                              48      1    98%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/urls                                      2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/flatpages/views                                    29      3    90%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/formtools/__init__                                  0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/formtools/models                                    0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/formtools/preview                                  74      6    92%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/formtools/tests/__init__                          177      1    99%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/formtools/tests/urls                                3      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/formtools/utils                                    35      2    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/formtools/wizard                                   98      8    92%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/gis/__init__                                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/gis/management/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/gis/models                                          4      2    50%
