Name                                                                                                Stmts   Miss  Cover
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/tests/management                                 18      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/tests/models                                     21      2    90%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/tests/remote_user                                88      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/tests/signals                                    32      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/tests/tokens                                     36      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/tests/views                                     264      4    98%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/tokens                                           33      2    94%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/utils                                            38      5    87%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/auth/views                                           141     15    89%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/__init__                                     42      9    79%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/admin                                        42      9    79%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/feeds                                        23      3    87%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/forms                                        89      2    98%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/managers                                     12      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/models                                       99     12    88%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/moderation                                   89      3    97%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/signals                                       4      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/templatetags/__init__                         0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/templatetags/comments                       140     20    86%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/views/__init__                                0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/views/comments                               63      1    98%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/views/moderation                             50      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/comments/views/utils                                  32      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/contenttypes/__init__                                  0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/contenttypes/generic                                 273     15    95%
