Name                                                                            Stmts   Miss  Cover
/home/gdub/tmp/metrics/2007-01-13/django/template/defaulttags                     444    346    22%
/home/gdub/tmp/metrics/2007-01-13/django/template/loader                           62     48    23%
/home/gdub/tmp/metrics/2007-01-13/django/template/loader_tags                     126     97    23%
/home/gdub/tmp/metrics/2007-01-13/django/test/__init__                              0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/test/client                               79     62    22%
/home/gdub/tmp/metrics/2007-01-13/django/test/doctest                             886    494    44%
/home/gdub/tmp/metrics/2007-01-13/django/test/signals                               1      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/test/simple                               47      4    91%
/home/gdub/tmp/metrics/2007-01-13/django/test/testcases                            17      7    59%
/home/gdub/tmp/metrics/2007-01-13/django/test/utils                                65     44    32%
/home/gdub/tmp/metrics/2007-01-13/django/utils/__init__                             0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/utils/datastructures                     150    104    31%
/home/gdub/tmp/metrics/2007-01-13/django/utils/dateformat                         149    100    33%
/home/gdub/tmp/metrics/2007-01-13/django/utils/dates                                7      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/utils/functional                          28      1    96%
/home/gdub/tmp/metrics/2007-01-13/django/utils/html                                63     42    33%
/home/gdub/tmp/metrics/2007-01-13/django/utils/itercompat                          15     11    27%
/home/gdub/tmp/metrics/2007-01-13/django/utils/termcolors                          24     15    38%
/home/gdub/tmp/metrics/2007-01-13/django/utils/text                                80     65    19%
/home/gdub/tmp/metrics/2007-01-13/django/utils/translation/__init__                 5      1    80%
/home/gdub/tmp/metrics/2007-01-13/django/utils/translation/trans_real             298    193    35%
/home/gdub/tmp/metrics/2007-01-13/django/utils/tzinfo                              35     20    43%
---------------------------------------------------------------------------------------------------
TOTAL                                                                           11343   6916    39%
