Name                                                                               Stmts   Miss  Cover
/home/gdub/tmp/metrics/2007-07-13/django/db/backends/__init__                          0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/db/backends/sqlite3/__init__                  0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/db/backends/sqlite3/base                    142     55    61%
/home/gdub/tmp/metrics/2007-07-13/django/db/backends/sqlite3/creation                  1      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/db/backends/sqlite3/introspection            39     27    31%
/home/gdub/tmp/metrics/2007-07-13/django/db/backends/util                             94     68    28%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/__init__                           21      6    71%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/base                              288    147    49%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/fields/__init__                   683    378    45%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/fields/related                    500    282    44%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/loading                            67      9    87%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/manager                            74     19    74%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/manipulators                      227    187    18%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/options                           213     60    72%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/query                             707    409    42%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/related                            97     65    33%
/home/gdub/tmp/metrics/2007-07-13/django/db/models/signals                             8      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/db/transaction                              100     46    54%
/home/gdub/tmp/metrics/2007-07-13/django/dispatch/__init__                             3      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/dispatch/dispatcher                         192    107    44%
/home/gdub/tmp/metrics/2007-07-13/django/dispatch/errors                               3      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/dispatch/robust                              11      8    27%
/home/gdub/tmp/metrics/2007-07-13/django/dispatch/robustapply                         20      5    75%
/home/gdub/tmp/metrics/2007-07-13/django/dispatch/saferef                             64     29    55%
/home/gdub/tmp/metrics/2007-07-13/django/http/__init__                               260    173    33%
/home/gdub/tmp/metrics/2007-07-13/django/newforms/__init__                             5      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/newforms/fields                             328    242    26%
/home/gdub/tmp/metrics/2007-07-13/django/newforms/forms                              180    122    32%
/home/gdub/tmp/metrics/2007-07-13/django/newforms/models                             118     92    22%
/home/gdub/tmp/metrics/2007-07-13/django/newforms/util                                30     16    47%
/home/gdub/tmp/metrics/2007-07-13/django/newforms/widgets                            235    154    34%
/home/gdub/tmp/metrics/2007-07-13/django/oldforms/__init__                           712    519    27%
/home/gdub/tmp/metrics/2007-07-13/django/shortcuts/__init__                           23     16    30%
/home/gdub/tmp/metrics/2007-07-13/django/template/__init__                           619    440    29%
/home/gdub/tmp/metrics/2007-07-13/django/template/context                             68     47    31%
/home/gdub/tmp/metrics/2007-07-13/django/template/defaultfilters                     343    204    41%
/home/gdub/tmp/metrics/2007-07-13/django/template/defaulttags                        508    394    22%
/home/gdub/tmp/metrics/2007-07-13/django/template/loader                              62     48    23%
/home/gdub/tmp/metrics/2007-07-13/django/template/loader_tags                        126     97    23%
/home/gdub/tmp/metrics/2007-07-13/django/test/__init__                                 2      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/test/_doctest                               886    489    45%
/home/gdub/tmp/metrics/2007-07-13/django/test/client                                 110     78    29%
/home/gdub/tmp/metrics/2007-07-13/django/test/signals                                  1      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/test/simple                                  48      6    88%
